-3.14159,8.74228e-08
-3.13845,-0.00314155
-3.13531,-0.00628315
-3.13217,-0.0094247
-3.12903,-0.0125661
-3.12588,-0.0157072
-3.12274,-0.0188484
-3.1196,-0.0219894
-3.11646,-0.0251302
-3.11332,-0.0282707
-3.11018,-0.0314107
-3.10704,-0.0345506
-3.10389,-0.0376902
-3.10075,-0.0408294
-3.09761,-0.043968
-3.09447,-0.0471064
-3.09133,-0.0502443
-3.08819,-0.0533817
-3.08504,-0.0565186
-3.0819,-0.0596547
-3.07876,-0.0627905
-3.07562,-0.0659256
-3.07248,-0.0690601
-3.06934,-0.0721939
-3.06619,-0.0753267
-3.06305,-0.078459
-3.05991,-0.0815906
-3.05677,-0.0847214
-3.05363,-0.0878513
-3.05049,-0.0909801
-3.04734,-0.0941083
-3.0442,-0.0972355
-3.04106,-0.100362
-3.03792,-0.103487
-3.03478,-0.106611
-3.03164,-0.109734
-3.0285,-0.112856
-3.02535,-0.115977
-3.02221,-0.119097
-3.01907,-0.122216
-3.01593,-0.125333
-3.01279,-0.128449
-3.00965,-0.131564
-3.0065,-0.134678
-3.00336,-0.13779
-3.00022,-0.140901
-2.99708,-0.144011
-2.99394,-0.147119
-2.9908,-0.150226
-2.98765,-0.153331
-2.98451,-0.156434
-2.98137,-0.159537
-2.97823,-0.162637
-2.97509,-0.165736
-2.97195,-0.168833
-2.96881,-0.171929
-2.96566,-0.175023
-2.96252,-0.178115
-2.95938,-0.181206
-2.95624,-0.184294
-2.9531,-0.187381
-2.94996,-0.190466
-2.94681,-0.19355
-2.94367,-0.196631
-2.94053,-0.19971
-2.93739,-0.202787
-2.93425,-0.205863
-2.93111,-0.208936
-2.92796,-0.212007
-2.92482,-0.215076
-2.92168,-0.218143
-2.91854,-0.221208
-2.9154,-0.224271
-2.91226,-0.227331
-2.90911,-0.230389
-2.90597,-0.233445
-2.90283,-0.236499
-2.89969,-0.23955
-2.89655,-0.242599
-2.89341,-0.245646
-2.89027,-0.24869
-2.88712,-0.251732
-2.88398,-0.254771
-2.88084,-0.257807
-2.8777,-0.260841
-2.87456,-0.263873
-2.87142,-0.266902
-2.86827,-0.269928
-2.86513,-0.272952
-2.86199,-0.275973
-2.85885,-0.278991
-2.85571,-0.282007
-2.85257,-0.285019
-2.84942,-0.288029
-2.84628,-0.291036
-2.84314,-0.29404
-2.84,-0.297042
-2.83686,-0.30004
-2.83372,-0.303035
-2.83057,-0.306028
-2.82743,-0.309017
-2.82429,-0.312003
-2.82115,-0.314986
-2.81801,-0.317967
-2.81487,-0.320944
-2.81173,-0.323917
-2.80858,-0.326888
-2.80544,-0.329855
-2.8023,-0.332819
-2.79916,-0.33578
-2.79602,-0.338738
-2.79288,-0.341692
-2.78973,-0.344643
-2.78659,-0.34759
-2.78345,-0.350534
-2.78031,-0.353475
-2.77717,-0.356412
-2.77403,-0.359345
-2.77088,-0.362275
-2.76774,-0.365202
-2.7646,-0.368125
-2.76146,-0.371044
-2.75832,-0.373959
-2.75518,-0.376871
-2.75204,-0.379779
-2.74889,-0.382683
-2.74575,-0.385584
-2.74261,-0.388481
-2.73947,-0.391374
-2.73633,-0.394263
